Category,Sub Category,Question,answer A,Answer B,Answer C,Answer D,correct answer,Difficulty,Last used,Frequency,Reg  or TT
Q&A,Fashion,What fabric was most popular for 1970's leisure suits?,,,,,Polyester,1,12/26/2019,2,Reg
Q&A,definitions,This double-b word means to mend boots or to put something together clumsily?,,,,,cobble,1,12/29/2019,1,Reg
Q&A,Fashion,"A classic of men’s formal wear, this dinner jacket was named for a New York country club that opened in 1886?",,,,,tuxedo,1,12/29/2019,1,Reg
Q&A,Mythology,Who was Apollos twin sister,,,,,Artemis,2,12/30/2019,3,Reg
Q&A,St. Patrick's Day,"Before green, there was another color previously associated with the celebration of St. Patrick's Day. Which Primary color was this?",,,,,Blue,2,1/2/2020,2,Reg
Q&A,musicl instruments,On a standard piano are there 36 black or white keys?,,,,,Black,1,1/5/2020,1,Reg
Q&A,alphabets,"In the phonetic alphabet, the letter Q is represented by which city?",,,,,Quebec,2,1/6/2020,2,Reg
Q&A,slang,This 4-letter word is slang for a party and can also mean to criticize harshly?,,,,,bash,1,1/7/2020,1,Reg
Q&A,quotes,The constitution says treason means giving our enemies “aid and this 2 syllable word?,,,,,comfort,2,1/7/2020,1,Reg
Q&A,Geography,London Bridge crosses which river?,,,,,Thames (pronounce: Tems),2,11/10/2020,1,Reg
Q&A,Mythology,Which of Santa’s reindeer shares its name with a mythological god?,,,,,Cupid,1,11/18/2020,4,Reg
Q&A,St Patricks Day,"Adam Wallace & Andy Elkerton tell the picture book tale of ""How to Catch"" one of these.",,,,,Leprechaun,1,3/18/2021,1,Reg
Q&A,SNL,Who starred in the famous “SNL” character Pat?,,,,,Julia Sweeney,2,5/22/2021,2,Reg
Q&A,Literature,How long did it take Dr. Seuss to write The Cat in the Hat? ,A Day and a Half,A week and a Half,A Month and a Half,A Year and a Half,A year and a half,2,08/07/21,2,Reg
Q&A,Music,In what Billy Joel song did he give a lengthy list of 20th century events.,,,,,We Didn’t Start the Fire,2,8/11/2021,2,Reg
Q&A,Geography,What is the capital of New Zealand?,,,,,Wellington,2,8/11/2021,1,Reg
Q&A,Literature,What is divided into 114 Surahs?,,,,,The Quran,1,8/11/2021,1,Reg
Q&A,Literature,This was Captain Hook’s ship in Peter Pan; it shares its name with a pirate banner?,,,,,Jolly Roger,1,8/26/2021,1,Reg
Q&A,Literature,"Ford County, his first collection of short stories, is set in Mississippi, like his novel a time to kill?",,,,,John Grisham,2,8/31/2021,1,Reg
Q&A,Fashion,8-letter term for an unlicensed copy of fashion clothing or purses?,,,,,knockoff,1,2/15/2022,1,Reg
Q&A,Literature,How many books are in the twilight series of books written by Stephenie Meyer?,3,4,5,6,4,2,7/22/2022,1,Reg
Q&A,Shakespeare,What Shakespeare play is the shortest in length?,,,,,The Comedy of Errors,3,7/26/2022,1,Reg
Q&A,Geography,"Depicted in a famous painting, what river did George Washington cross in the early days of the Revolutionary War?",,,,,The Delaware,1,7/26/2021,1,Reg
Q&A,Numbers,"All the numbers on a standard roulette wheel total up to this ""number of the Beast""",444,555,666,777,666,1,9/7/2021,1,Reg
Q&A,Numbers,what number does the Roman numeral XCI represent?,,,,,91,1,,1,Reg
Q&A,Literature,"In the Harry Potter books, at which magical subject does Neville Longbottom excel?",herbology,Potions,Defense against the Dark Arts,Transfiguration,herbology,2,,1,Reg
Q&A,Shakespear,Which planets moons are named after Shakespearean characters?,Uranus,Neptune,Venus,Saturn,Uranus,2,,1,Reg
Q&A,Mythology,Who was the last king of Troy killed by,,,,,Achilles,1,,1,Reg
Q&A,Literature,The title of whose book translates as My Struggle,,,,,Adolf Hitler,3,,1,Reg
Q&A,Literature,Who wrote Brave New World (full name) ,,,,,Aldus Huxley,3,,1,Reg
Q&A,Literature,Who wrote the Man in the Iron Mask,,,,,Alexander Dumas,2,,,Reg
Q&A,Mythology,Who was the Greek goddess of love?,,,,,Aprhodite,1,,,Reg
Q&A,Mythology,The jealous Athena turned who into a spider,,,,,Arachne,2,,,Reg
Q&A,Literature,In which book would you find the manservant Pas Partout,,,,,Around the World in 80 Days,2,,,Reg
Q&A,Literature,Who wrote the children's novel Swallows and Amazons,,,,,Arthur Ransom,3,,,Reg
Q&A,Literature,Led Deighton trilogy Game Set Match What 3 Capitals,,,,,Berlin Mexico London,2,,,Reg
Q&A,Literature,What hospital did Dr Kildare work at,,,,,Blaire General ,2,,,Reg
Q&A,Literature,Who wrote Dr Zhivago,,,,,Boris Pasternak,3,,,Reg
Q&A,Literature,Mr Chips said goodbye - from which fictional school,,,,,Brookfield,2,,,Reg
